state,city,year,CVAPCity,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,medianM,meanM,S,ESType,enep,enepWoman,enepColor,enlp,enlpWoman,enlpColor,Women_run,Women_win,MS,State,d,Women_run_e,Women_run_d,Women_win_e,Women_win_d
AUS,Blacktown,2016,NA,38,NA,NA,16,NA,NA,NA,3,3,15,STV,2.8613774773691683,2.8456892779001053,2.8456892779001053,1.7999999999999998,1.7999999999999998,1.7999999999999998,24,2,45,AUS,1,2,0,2,0
AUS,Blacktown,2016,NA,38,NA,NA,16,NA,NA,NA,3,3,15,STV,2.8613774773691683,2.8456892779001053,2.8456892779001053,1.7999999999999998,1.7999999999999998,1.7999999999999998,24,2,45,AUS,2,2,0,2,0
AUS,Blacktown,2016,NA,38,NA,NA,16,NA,NA,NA,3,3,15,STV,2.8613774773691683,2.8456892779001053,2.8456892779001053,1.7999999999999998,1.7999999999999998,1.7999999999999998,24,2,45,AUS,3,2,0,2,0
AUS,Blacktown,2016,NA,38,NA,NA,16,NA,NA,NA,3,3,15,STV,2.8613774773691683,2.8456892779001053,2.8456892779001053,1.7999999999999998,1.7999999999999998,1.7999999999999998,24,2,45,AUS,4,2,2,2,2
AUS,Blacktown,2016,NA,38,NA,NA,16,NA,NA,NA,3,3,15,STV,2.8613774773691683,2.8456892779001053,2.8456892779001053,1.7999999999999998,1.7999999999999998,1.7999999999999998,24,2,45,AUS,5,2,0,2,0
AUS,Burwood,2017,NA,13,NA,NA,52,NA,NA,NA,6,6,6,STV,2.6249304335085597,2.6249304335085597,2.6249304335085597,2.571428571428571,1.6,1.923076923076923,7,2,36,AUS,city,2,2,2,2
AUS,Campbelltown City Council,2016,NA,50,NA,NA,8,NA,NA,NA,15,15,15,STV,4.163343831391834,4.163343831391834,3.581255189958488,3.4615384615384612,1,1.7241379310344829,34,4,225,AUS,city,4,4,4,4
AUS,Canterbury-Bankstown,2016,NA,22,NA,13,15,NA,NA,NA,3,3,15,STV,3.0197407022276956,3.0197407022276956,3.0176721662173107,2.102803738317758,1.2195121951219512,1.8490566037735847,21,5,45,AUS,BANKSTOWN WARD,5,0,5,0
AUS,Canterbury-Bankstown,2016,NA,22,NA,13,15,NA,NA,NA,3,3,15,STV,3.0197407022276956,3.0197407022276956,3.0176721662173107,2.102803738317758,1.2195121951219512,1.8490566037735847,21,5,45,AUS,BASS HILL WARD,5,1,5,1
AUS,Canterbury-Bankstown,2016,NA,22,NA,13,15,NA,NA,NA,3,3,15,STV,3.0197407022276956,3.0197407022276956,3.0176721662173107,2.102803738317758,1.2195121951219512,1.8490566037735847,21,5,45,AUS,CANTERBURY WARD,5,2,5,2
AUS,Canterbury-Bankstown,2016,NA,22,NA,13,15,NA,NA,NA,3,3,15,STV,3.0197407022276956,3.0197407022276956,3.0176721662173107,2.102803738317758,1.2195121951219512,1.8490566037735847,21,5,45,AUS,REVESBY WARD,5,1,5,1
AUS,Canterbury-Bankstown,2016,NA,22,NA,13,15,NA,NA,NA,3,3,15,STV,3.0197407022276956,3.0197407022276956,3.0176721662173107,2.102803738317758,1.2195121951219512,1.8490566037735847,21,5,45,AUS,ROSELANDS WARD,5,1,5,1
AUS,Fairfield,2016,NA,15,NA,NA,28,NA,NA,NA,4,4,12,STV,4.169070929497141,3.8476947194074818,2.808663968370953,2.6666666666666665,1,1.7999999999999998,10,1,48,AUS,Cabravale Ward,1,1,1,1
AUS,Fairfield,2017,NA,15,NA,NA,28,NA,NA,NA,4,4,12,STV,3.748769355144527,2.835973177379062,2.835973177379062,2.6666666666666665,1,1.7999999999999998,9,2,48,AUS,Fairfield Ward,2,2,2,2
AUS,Fairfield,2018,NA,15,NA,NA,28,NA,NA,NA,4,4,12,STV,3.7541056688294585,1.7660775539559,1.7210705246956752,2.6666666666666665,1,NA,4,1,48,AUS,Parks Ward,1,1,1,1
AUS,Liverpool,2016,NA,15,NA,12,8,NA,NA,NA,5,5,10,STV,3.1685277525665643,3.1685277525665643,3.1685277525665643,2.7777777777777772,2.7777777777777772,2,14,3,50,AUS,North Ward,3,0,3,0
AUS,Liverpool,2016,NA,15,NA,12,8,NA,NA,NA,5,5,10,STV,3.1685277525665643,3.1685277525665643,3.1685277525665643,2.7777777777777772,2.7777777777777772,2,14,3,50,AUS,South Ward,3,3,3,3
AUS,Parramatta,2017,NA,14,NA,NA,46,NA,NA,NA,3,3,15,STV,3.853189409355504,3.655430988933273,3.6003590253143196,3.169014084507042,1.8823529411764703,1.9836065573770496,27,4,45,AUS,Dundas,4,1,4,1
AUS,Parramatta,2017,NA,14,NA,NA,46,NA,NA,NA,3,3,15,STV,3.853189409355504,3.655430988933273,3.6003590253143196,3.169014084507042,1.8823529411764703,1.9836065573770496,27,4,45,AUS,Epping,4,2,4,2
AUS,Parramatta,2017,NA,14,NA,NA,46,NA,NA,NA,3,3,15,STV,3.853189409355504,3.655430988933273,3.6003590253143196,3.169014084507042,1.8823529411764703,1.9836065573770496,27,4,45,AUS,North Rocks,4,0,4,0
AUS,Parramatta,2017,NA,14,NA,NA,46,NA,NA,NA,3,3,15,STV,3.853189409355504,3.655430988933273,3.6003590253143196,3.169014084507042,1.8823529411764703,1.9836065573770496,27,4,45,AUS,Parramatta Ward,4,0,4,0
