d,State,city,year,CVAPCity,CVAPd,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,S,M,ESType,candidate,party,win,race,gender,votes,MS,Women_run_d,Women_run_e,Women_win_e,Women_win_d
BANKSTOWN WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,EL-HAYEK Bilal (Elected 3),12,1,6,0,889,45,0,5,5,0
BASS HILL WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,* KUSKOFF Alex (Elected 1),12,1,1,0,1307,45,1,5,5,1
BASS HILL WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,ISHAC Charlie (Elected 2),13,1,6,0,721,45,1,5,5,1
BASS HILL WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,HARIKA Rachelle (Elected 3),12,1,6,1,231,45,1,5,5,1
CANTERBURY WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,RAFFAN Clare (Elected 1),12,1,1,1,807,45,2,5,5,2
CANTERBURY WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,* EISLER Linda (Elected 3),4,1,1,1,602,45,2,5,5,2
CANTERBURY WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,MADIRAZZA Philip (Elected 2),13,1,1,0,481,45,2,5,5,2
REVESBY WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,* DOWNEY Linda (Elected 1),12,1,1,1,865,45,1,5,5,1
REVESBY WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,* WAUD Glen (Elected 2),13,1,1,0,591,45,1,5,5,1
REVESBY WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,TUNTEVSKI Steve (Elected 3),12,1,1,0,252,45,1,5,5,1
ROSELANDS WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,SALEH Nadia (Elected 1),12,1,6,1,1655,45,1,5,5,1
ROSELANDS WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,ZAMAN Mohammad (Elected 2),13,1,6,0,678,45,1,5,5,1
ROSELANDS WARD,AUS,Canterbury-Bankstown,2016,NA,NA,22,NA,13,15,NA,NA,NA,15,3,STV,HUDA Mohammad (Elected 3),12,1,6,0,444,45,1,5,5,1
Cabravale Ward,AUS,Fairfield,2016,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"LY, Kien",12,1,4,0,11322,48,1,1,1,1
Cabravale Ward,AUS,Fairfield,2016,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"LE, Dai",14,1,4,1,8200,48,1,1,1,1
Cabravale Ward,AUS,Fairfield,2016,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"GRIPPAUDO, Peter",13,1,1,0,2889,48,1,1,1,1
Cabravale Ward,AUS,Fairfield,2016,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"WONG, Adrian",12,1,4,0,162,48,1,1,1,1
Fairfield Ward,AUS,Fairfield,2017,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"BENNETT, Del",12,1,1,1,13614,48,2,2,2,2
Fairfield Ward,AUS,Fairfield,2017,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"AZZO, Paul",13,1,1,0,5507,48,2,2,2,2
Fairfield Ward,AUS,Fairfield,2017,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"SALIBA, Charbel",14.1,1,6,0,4515,48,2,2,2,2
Fairfield Ward,AUS,Fairfield,2017,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"TADIC-KAZI, Anita",12,1,6,1,64,48,2,2,2,2
Parks Ward,AUS,Fairfield,2018,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"KHOSHABA, Ninos",12,1,6,0,11240,48,1,1,1,1
Parks Ward,AUS,Fairfield,2018,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"ROHAN, Andrew",14,1,1,0,9506,48,1,1,1,1
Parks Ward,AUS,Fairfield,2018,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"MOLLUSO, Joe",13,1,1,0,6687,48,1,1,1,1
Parks Ward,AUS,Fairfield,2018,NA,NA,15,NA,NA,28,NA,NA,NA,12,4,STV,"YILMAZ, Sera",12,1,6,1,115,48,1,1,1,1
North Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,HARLE Peter,14,1,1,0,650,50,0,3,3,0
North Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,KARNIB Ali,12,1,6,0,466,50,0,3,3,0
North Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,HADID Mazhar,13,1,6,0,368,50,0,3,3,0
North Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,HAGARTY Nathan,12,1,1,0,214,50,0,3,3,0
North Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,BALLOOT Gus,13,1,1,0,81,50,0,3,3,0
South Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,HADCHITI Tony,13,1,6,0,994,50,3,3,3,3
South Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,SHELTON Geoff,12,1,1,0,497,50,3,3,3,3
South Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,KALIYANDA Charishma,12,1,5,1,181,50,3,3,3,3
South Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,RHODES Karress,14,1,1,1,143,50,3,3,3,3
South Ward,AUS,Liverpool,2016,NA,NA,15,NA,12,8,NA,NA,NA,10,5,STV,AYYAD Tina,13,1,6,1,84,50,3,3,3,3
Dundas,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,ESBER Pierre,12,1,6,0,431,45,1,4,4,1
Dundas,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,BARRAK Benjamin,13,1,6,0,327,45,1,4,4,1
Dundas,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,GARRARD Michelle,14,1,1,1,286,45,1,4,4,1
Epping,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,WEARNE Lorraine,14,1,1,1,591,45,2,4,4,2
Epping,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,DAVIS Donna,12,1,1,1,291,45,2,4,4,2
Epping,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,TYRRELL Bill,13,1,1,0,256,45,2,4,4,2
North Rocks,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,HAN Paul,12,1,4,0,470,45,0,4,4,0
North Rocks,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,JEFFERIES Andrew,13,1,1,0,419,45,0,4,4,0
North Rocks,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,DWYER Bob,13,1,1,0,206,45,0,4,4,0
Parramatta Ward,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,PANDEY Sameer,12,1,5,0,388,45,0,4,4,0
Parramatta Ward,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,ZAITER Martin,13,1,6,0,348,45,0,4,4,0
Parramatta Ward,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,BRADLEY Phil,4,1,1,0,203,45,0,4,4,0
Rosehill,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,ISSA Steven,13,1,6,0,324,45,1,4,4,1
Rosehill,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,PROCIV Patricia,12,1,1,1,274,45,1,4,4,1
Rosehill,AUS,Parramatta,2017,NA,NA,14,NA,NA,46,NA,NA,NA,15,3,STV,WILSON Andrew,14,1,1,0,113,45,1,4,4,1
city,AUS,Strathfield,2017,NA,NA,14,NA,NA,41,NA,NA,NA,7,7,STV,VACCARI Gulian,13,1,1,0,357,49,4,4,4,4
