d,State,city,year,CVAPCity,CVAPd,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,S,M,ESType,candidate,party,win,race,gender,votes,MS,Women_run_d,Women_run_e,Women_win_e,Women_win_d
city,CA,Bell,2015,NA,NA,64,1,92,0.5,NA,NA,NA,5,3,ALP,Nestor Enrique Valencia,NA,1,NA,NA,817,15,0,0,0,0
city,CA,Bell,2017,NA,NA,64,1,92,0.5,NA,NA,NA,5,2,ALP,Alicia Romero,2,1,1,1,825,10,2,2,2,2
city,CA,Bell,2017,NA,NA,64,1,92,0.5,NA,NA,NA,5,2,ALP,Ana Maria Quintana,2,1,2,1,814,10,2,2,2,2
city,CA,Bellflower,2017,NA,NA,35,14,51,11,NA,NA,NA,5,2,ALP,Dan Koops,1,1,1,0,2221,10,0,0,0,0
city,CA,Bellflower,2017,NA,NA,35,14,51,11,NA,NA,NA,5,2,ALP,Juan F. Garza,2,1,2,0,2087,10,0,0,0,0
1,CA,Berkeley,2010,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,LINDA MAIO,NA,1,1,1,3735,8,1,1,1,1
4,CA,Berkeley,2010,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,JESSE ARREGUIN,NA,1,2,0,2544,8,0,1,1,0
7,CA,Berkeley,2010,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,KRISS WORTHINGTON,NA,1,1,0,2078,8,0,1,1,0
8,CA,Berkeley,2010,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,GORDON WOZNIAK,NA,1,1,0,2806,8,0,1,1,0
2,CA,Berkeley,2012,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,DARRYL MOORE,NA,1,3,0,3407,8,0,1,1,0
3,CA,Berkeley,2012,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,MAX ANDERSON,NA,1,3,0,3130,8,0,1,1,0
5,CA,Berkeley,2012,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,LAURIE CAPITELLI,NA,1,1,0,4333,8,0,1,1,0
6,CA,Berkeley,2012,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,SUSAN WENGRAF,NA,1,1,1,5601,8,1,1,1,1
1,CA,Berkeley,2014,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Jesse Arreguin,NA,1,2,0,2301,8,0,1,1,0
7,CA,Berkeley,2014,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,KRISS WORTHINGTON,NA,1,1,0,833,8,0,1,1,0
8,CA,Berkeley,2014,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,LORI DROSTE,NA,1,1,1,1318,8,1,1,1,1
2,CA,Berkeley,2016,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Susan Wengraf,2,1,1,1,4358,8,1,2,2,1
3,CA,Berkeley,2016,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Darryl Moore,2,1,3,0,2827,8,0,2,2,0
5,CA,Berkeley,2016,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Ben Bartlett,2,1,3,0,4048,8,0,2,2,0
6,CA,Berkeley,2016,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Sophie Hahn,2,1,1,1,5821,8,1,2,2,1
4,CA,Berkeley,2017,NA,NA,62,9,11,22,NA,NA,NA,8,1,rcv,KATE HARRISON,NA,1,1,1,1608,8,1,1,1,1
1,CA,Berkeley,2018,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Rashi Kesarwani,2,1,4,1,3491,8,1,3,3,1
4,CA,Berkeley,2018,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Kate Harrison,4,1,1,1,2881,8,1,3,3,1
7,CA,Berkeley,2018,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Rigel Robinson,2,1,4,0,1580,8,0,3,3,0
8,CA,Berkeley,2018,NA,NA,62,9,11,22,NA,NA,NA,8,1,RCV,Lori Droste,2,1,1,1,3667,8,1,3,3,1
city,CA,Beverly Hills,2017,NA,NA,86,3,6,7,NA,NA,NA,5,3,ALP,John A. Mirisch,1,1,1,0,2154,15,0,0,0,0
city,CA,Beverly Hills,2017,NA,NA,86,3,6,7,NA,NA,NA,5,3,ALP,Les Friedman,2,1,1,0,1966,15,0,0,0,0
city,CA,Beverly Hills,2017,NA,NA,86,3,6,7,NA,NA,NA,5,3,ALP,Robert (Bob) Wunderlich,2,1,1,0,1948,15,0,0,0,0
city,CA,Biggs,2016,NA,NA,74,1,36,3,NA,NA,NA,5,2,ALP,Roger Frith,1,1,1,0,311,10,0,0,0,0
city,CA,Biggs,2016,NA,NA,74,1,36,3,NA,NA,NA,5,2,ALP,Nathan Wilkinson,1,1,1,0,272,10,0,0,0,0
city,CA,Biggs,2018,NA,NA,74,1,36,3,NA,NA,NA,5,3,ALP,Angela Thompson,1,1,1,1,338,15,1,1,1,1
city,CA,Biggs,2018,NA,NA,74,1,36,3,NA,NA,NA,5,3,ALP,James Sheppard,1,1,1,0,331,15,1,1,1,1
city,CA,Biggs,2018,NA,NA,74,1,36,3,NA,NA,NA,5,3,ALP,Brian Bassett,NA,1,1,0,283,15,1,1,1,1
city,CA,Brea,2016,NA,NA,71,1,24,18,NA,NA,NA,5,2,ALP,Christine Marick,1,1,1,1,11476,10,1,1,1,1
city,CA,Brea,2016,NA,NA,71,1,24,18,NA,NA,NA,5,2,ALP,Marty Simonoff,1,1,1,0,9765,10,1,1,1,1
city,CA,Brea,2018,NA,NA,71,1,24,18,NA,NA,NA,5,3,ALP,Cecilia Hupp,1,1,1,1,9726,15,1,1,1,1
city,CA,Brea,2018,NA,NA,71,1,24,18,NA,NA,NA,5,3,ALP,Steven Vargas,1,1,2,0,7731,15,1,1,1,1
city,CA,Brea,2018,NA,NA,71,1,24,18,NA,NA,NA,5,3,ALP,Glenn Parker,2,1,1,0,6948,15,1,1,1,1
city,CA,Brentwood,2016,NA,NA,73,6,29,7,NA,NA,NA,5,2,ALP,Claudette Staton,2,1,3,1,11284,10,2,2,2,2
city,CA,Brentwood,2016,NA,NA,73,6,29,7,NA,NA,NA,5,2,ALP,Karen Rarey,2,1,1,1,9466,10,2,2,2,2
city,CA,Brentwood,2018,NA,NA,73,6,29,7,NA,NA,NA,5,2,ALP,Johnny Rodriguez,2,1,2,0,8662,10,0,0,0,0
city,CA,Brentwood,2018,NA,NA,73,6,29,7,NA,NA,NA,5,2,ALP,Joel Bryant,1,1,1,0,8525,10,0,0,0,0
1,CA,Buena Park,2016,NA,NA,53,5,38,26,NA,NA,NA,5,1,SSD,Fred Smith,2,1,1,0,2683,5,0,0,0,0
4,CA,Buena Park,2016,NA,NA,53,5,38,26,NA,NA,NA,5,1,SSD,Art Brown,2,1,1,0,4692,5,0,0,0,0
1,CA,Buena Park,2018,NA,NA,53,5,38,26,NA,NA,NA,5,1,SSD,Sunny Youngsun Park,2,1,4,1,1560,5,1,2,2,1
2,CA,Buena Park,2018,NA,NA,53,5,38,26,NA,NA,NA,5,1,SSD,Elizabeth Swift,1,1,1,1,1079,5,1,2,2,1
5,CA,Buena Park,2018,NA,NA,53,5,38,26,NA,NA,NA,5,1,SSD,Connor Traut,2,1,1,0,3026,5,0,2,2,0
city,CA,Burbank,2015,NA,NA,74,2,26,12,NA,NA,NA,5,2,ALP,Emily Gabel-Luddy,NA,1,NA,NA,4170,10,0,0,0,0
city,CA,Burbank,2015,NA,NA,74,2,26,12,NA,NA,NA,5,2,ALP,Will Rogers,NA,1,NA,NA,3563,10,0,0,0,0
city,CA,Burbank,2017,NA,NA,74,2,26,12,NA,NA,NA,5,4,ALP,Jess Talamantes,NA,1,NA,NA,5485,20,0,0,0,0
city,CA,Burbank,2017,NA,NA,74,2,26,12,NA,NA,NA,5,4,ALP,Robert Frutos,NA,1,NA,NA,5320,20,0,0,0,0
city,CA,Burbank,2017,NA,NA,74,2,26,12,NA,NA,NA,5,4,ALP,David Gordon,NA,1,NA,NA,4799,20,0,0,0,0
city,CA,Burbank,2017,NA,NA,74,2,26,12,NA,NA,NA,5,4,ALP,Sharon Springer,NA,1,NA,NA,3914,20,0,0,0,0
city,CA,Calabasas,2018,NA,NA,82,3,7,10,NA,NA,NA,5,3,ALP,David J. Shapiro,2,1,1,0,6355,15,1,1,1,1
city,CA,Calabasas,2018,NA,NA,82,3,7,10,NA,NA,NA,5,3,ALP,Mary Sue Maurer,2,1,1,1,5823,15,1,1,1,1
city,CA,Calabasas,2018,NA,NA,82,3,7,10,NA,NA,NA,5,3,ALP,James R. Bozajian,2,1,1,0,5628,15,1,1,1,1
city,CA,Carson ,2016,NA,NA,32,22,28,26,NA,NA,NA,5,2,ALP,Jawane Hilton,NA,1,NA,NA,11334,10,0,0,0,0
city,CA,Carson ,2016,NA,NA,32,22,28,26,NA,NA,NA,5,2,ALP,Cedric L. Hicks,NA,1,NA,NA,9184,10,0,0,0,0
city,CA,Carson ,2018,NA,NA,32,22,28,26,NA,NA,NA,5,2,ALP,Lula Davis-Holmes,2,1,3,1,11392,10,1,1,1,1
city,CA,Carson ,2018,NA,NA,32,22,28,26,NA,NA,NA,5,2,ALP,Jim Dear,2,1,1,0,8868,10,1,1,1,1
city,CA,Cerritos,2015,NA,NA,21,7,11,62,NA,NA,NA,5,2,ALP,Mark E. Pulido,NA,1,NA,NA,3997,10,0,0,0,0
city,CA,Cerritos,2015,NA,NA,21,7,11,62,NA,NA,NA,5,2,ALP,Jim Edwards,NA,1,NA,NA,3459,10,0,0,0,0
city,CA,Cerritos,2017,NA,NA,21,7,11,62,NA,NA,NA,5,2,ALP,Grace Hu,NA,1,NA,NA,3376,10,0,0,0,0
city,CA,Cerritos,2017,NA,NA,21,7,11,62,NA,NA,NA,5,2,ALP,Frank Yokoyama,NA,1,NA,NA,3069,10,0,0,0,0
city,CA,Chico,2016,NA,NA,82,2,15,5,NA,NA,NA,7,4,ALP,Sean Morgan,1,1,1,0,15426,28,1,1,1,1
city,CA,Chico,2016,NA,NA,82,2,15,5,NA,NA,NA,7,4,ALP,Ann Schwab,2,1,1,1,15195,28,1,1,1,1
city,CA,Chico,2016,NA,NA,82,2,15,5,NA,NA,NA,7,4,ALP,Randall Stone,2,1,2,0,14362,28,1,1,1,1
city,CA,Chico,2016,NA,NA,82,2,15,5,NA,NA,NA,7,4,ALP,Karl Ory,2,1,1,0,13994,28,1,1,1,1
city,CA,Chico,2018,NA,NA,82,2,15,5,NA,NA,NA,7,3,ALP,Alexandria Brown,2,1,1,1,16211,21,2,2,2,2
city,CA,Chico,2018,NA,NA,82,2,15,5,NA,NA,NA,7,3,ALP,Kasey Reynolds,1,1,1,1,15984,21,2,2,2,2
city,CA,Chico,2018,NA,NA,82,2,15,5,NA,NA,NA,7,3,ALP,Scott Huber,2,1,1,0,14921,21,2,2,2,2
city,CA,Claremont ,2017,NA,NA,72,5,21,11,NA,NA,NA,5,2,ALP,Larry Schroeder,2,1,1,0,3799,10,0,0,0,0
city,CA,Claremont ,2017,NA,NA,72,5,21,11,NA,NA,NA,5,2,ALP,Corey Calaycay,2,1,1,0,3271,10,0,0,0,0
city,CA,Claremont ,2018,NA,NA,72,5,21,11,NA,NA,NA,5,3,ALP,Jennifer Stark,2,1,1,1,8355,15,1,1,1,1
city,CA,Claremont ,2018,NA,NA,72,5,21,11,NA,NA,NA,5,3,ALP,Jed Leano,2,1,4,0,7248,15,1,1,1,1
city,CA,Claremont ,2018,NA,NA,72,5,21,11,NA,NA,NA,5,3,ALP,Ed Reece,2,1,1,0,6146,15,1,1,1,1
city,CA,Clayton,2016,NA,NA,85,2,8,8,NA,NA,NA,5,3,ALP,Julie Pierce,2,1,1,1,4447,15,2,2,2,2
city,CA,Clayton,2016,NA,NA,85,2,8,8,NA,NA,NA,5,3,ALP,Jim Diaz,2,1,2,0,3861,15,2,2,2,2
city,CA,Clayton,2016,NA,NA,85,2,8,8,NA,NA,NA,5,3,ALP,Tuija Catalano,NA,1,2,1,3053,15,2,2,2,2
city,CA,Clayton,2018,NA,NA,85,2,8,8,NA,NA,NA,5,2,ALP,Jeff Wan,NA,1,4,0,2875,10,0,0,0,0
city,CA,Clayton,2018,NA,NA,85,2,8,8,NA,NA,NA,5,2,ALP,Carl Wolfe,2,1,1,0,2828,10,0,0,0,0
city,CA,Clovis ,2017,NA,NA,69,3,24,10,NA,NA,NA,5,2,ALP,Lynne Ashbeck,1,1,1,1,7782,10,1,1,1,1
city,CA,Clovis ,2017,NA,NA,69,3,24,10,NA,NA,NA,5,2,ALP,Vong Mouanoutoua,1,1,4,0,4696,10,1,1,1,1
1,CA,Clovis,2017,NA,NA,69,3,24,10,NA,NA,NA,5,1,SSD,Drew Bessinger,1,1,1,0,6155,5,0,0,0,0
city,CA,Coalinga,2016,NA,NA,67,7,52,2,NA,NA,NA,5,2,ALP,Ron Lander,1,1,1,0,1461,10,1,1,1,1
city,CA,Coalinga,2016,NA,NA,67,7,52,2,NA,NA,NA,5,2,ALP,Tanya Stolz,1,1,1,1,1219,10,1,1,1,1
1,CA,Coalinga,2018,NA,NA,67,7,52,2,NA,NA,NA,5,1,SSD,Adam Adkisson,1,1,1,0,361,5,0,0,0,0
3,CA,coalinga,2018,NA,NA,67,7,52,2,NA,NA,NA,5,1,SSD,Ray SIngleton,1,1,3,0,320,5,0,0,0,0
5,CA,Coalinga,2018,NA,NA,67,7,52,2,NA,NA,NA,5,1,SSD,Ron Ramsey,2,1,1,0,341,5,0,0,0,0
city,CA,Commerce,2015,NA,NA,60,2,95,2,NA,NA,NA,5,2,ALP,Hugo Argumedo,NA,1,NA,NA,599,10,0,0,0,0
city,CA,Commerce,2015,NA,NA,60,2,95,2,NA,NA,NA,5,2,ALP,Oralia Rebollo,NA,1,NA,NA,556,10,0,0,0,0
city,CA,Commerce,2017,NA,NA,60,2,95,2,NA,NA,NA,5,2,ALP,Leonard Mendoza,NA,1,NA,NA,522,10,0,0,0,0
city,CA,Commerce,2017,NA,NA,60,2,95,2,NA,NA,NA,5,2,ALP,John Soria,NA,1,NA,NA,508,10,0,0,0,0
1,CA,Compton,2015,NA,NA,38,31,66,0.5,NA,NA,NA,5,1,SSD,Janna Zurita,NA,1,NA,NA,512,5,0,0,0,0
4,CA,Compton,2015,NA,NA,38,31,66,0.5,NA,NA,NA,5,1,SSD,Willie Jones,NA,1,NA,NA,293,5,0,0,0,0
2,CA,Compton,2017,NA,NA,38,31,66,0.5,NA,NA,NA,5,1,SSD,Issac Galvan,NA,1,NA,NA,757,5,0,0,0,0
3,CA,Compton,2017,NA,NA,38,31,66,0.5,NA,NA,NA,5,1,SSD,Tana McCoy,NA,1,NA,NA,819,5,0,0,0,0
1,CA,Compton,2019,NA,NA,38,31,66,0.5,NA,NA,NA,5,1,SSD,Janna Zurita,NA,1,NA,NA,678,5,0,0,0,0
4,CA,Compton,2019,NA,NA,38,31,66,0.5,NA,NA,NA,5,1,SSD,Justin A. Blakely,NA,1,NA,NA,565,5,0,0,0,0
city,CA,Concord,2016,NA,NA,69,3,28,12,NA,NA,NA,5,2,ALP,Carlyn Obringer,2,1,1,1,18341,10,1,1,1,1
city,CA,Concord,2016,NA,NA,69,3,28,12,NA,NA,NA,5,2,ALP,Ed Birsan,2,1,1,0,13984,10,1,1,1,1
1,CA,Concord,2018,NA,NA,69,3,28,12,NA,NA,NA,5,1,SSD,Laura Hoffmeister,2,1,1,1,2453,5,1,1,1,1
3,CA,Concord,2018,NA,NA,69,3,28,12,NA,NA,NA,5,1,SSD,Dominic Aliano,2,1,1,0,1237,5,0,1,1,0
5,CA,Concord,2018,NA,NA,69,3,28,12,NA,NA,NA,5,1,SSD,Timothy McGallian,2,1,1,0,7828,5,0,1,1,0
city,CA,Costa Mesa,2016,NA,NA,71,1,35,9,NA,NA,NA,5,3,ALP,Sandra Genis,1,1,1,1,18091,15,1,1,1,1
city,CA,Costa Mesa,2016,NA,NA,71,1,35,9,NA,NA,NA,5,3,ALP,John Stephens,2,1,1,0,17869,15,1,1,1,1
city,CA,Costa Mesa,2016,NA,NA,71,1,35,9,NA,NA,NA,5,3,ALP,Allan Mansoor,1,1,1,0,15187,15,1,1,1,1
1,CA,Costa Mesa,2018,NA,NA,71,1,35,9,NA,NA,NA,6,1,SSD,Manuel Chavez,2,1,2,0,1603,6,0,2,2,0
3,CA,Costa Mesa,2018,NA,NA,71,1,35,9,NA,NA,NA,6,1,SSD,Andrea Marr,2,1,2,1,3109,6,1,2,2,1
5,CA,Costa Mesa,2018,NA,NA,71,1,35,9,NA,NA,NA,6,1,SSD,Arlis Reynolds,2,1,1,1,3168,6,1,2,2,1
city,CA,Covina ,2017,NA,NA,53,5,52,10,NA,NA,NA,5,3,ALP,Jorge A. Marquez,2,1,2,0,2600,15,0,0,0,0
city,CA,Covina ,2017,NA,NA,53,5,52,10,NA,NA,NA,5,3,ALP,John C. King,1,1,1,0,2450,15,0,0,0,0
city,CA,Covina ,2017,NA,NA,53,5,52,10,NA,NA,NA,5,3,ALP,Victor Linares,2,1,2,0,2232,15,0,0,0,0
city,CA,Cudahy ,2015,NA,NA,62,1,97,1,NA,NA,NA,5,3,ALP,Baru A. Sanchez,NA,1,NA,NA,516,15,0,0,0,0
city,CA,Cudahy ,2015,NA,NA,62,1,97,1,NA,NA,NA,5,3,ALP,Christian Hernandez,NA,1,NA,NA,470,15,0,0,0,0
city,CA,Cudahy ,2015,NA,NA,62,1,97,1,NA,NA,NA,5,3,ALP,Cristian Markovich,NA,1,NA,NA,445,15,0,0,0,0
city,CA,Cudahy ,2017,NA,NA,62,1,97,1,NA,NA,NA,5,2,ALP,Jack M. Guerrero,1,1,2,0,559,10,0,0,0,0
city,CA,Cudahy ,2017,NA,NA,62,1,97,1,NA,NA,NA,5,2,ALP,Chris Garcia,2,1,2,0,552,10,0,0,0,0
city,CA,Cudahy ,2018,NA,NA,62,1,97,1,NA,NA,NA,5,3,ALP,Blanca Lozoya,NA,1,2,1,1110,15,2,2,2,2
city,CA,Cudahy ,2018,NA,NA,62,1,97,1,NA,NA,NA,5,3,ALP,Elizabeth Alcantar,2,1,1,1,1100,15,2,2,2,2
city,CA,Cudahy ,2018,NA,NA,62,1,97,1,NA,NA,NA,5,3,ALP,Jack M. Guerrero,1,1,2,0,1042,15,2,2,2,2
city,CA,Cypress,2016,NA,NA,59,2,18,31,NA,NA,NA,5,2,ALP,Rob Johnson,1,1,1,0,9369,10,1,1,1,1
city,CA,Cypress,2016,NA,NA,59,2,18,31,NA,NA,NA,5,2,ALP,Mariellen Yarc,1,1,1,1,8921,10,1,1,1,1
city,CA,Cypress,2018,NA,NA,59,2,18,31,NA,NA,NA,5,3,ALP,Jon Peat,1,1,1,0,8913,15,1,1,1,1
city,CA,Cypress,2018,NA,NA,59,2,18,31,NA,NA,NA,5,3,ALP,Stacy Berry,1,1,1,1,8283,15,1,1,1,1
city,CA,Cypress,2018,NA,NA,59,2,18,31,NA,NA,NA,5,3,ALP,Paulo Morales,1,1,2,0,7448,15,1,1,1,1
city,CA,Dana Point,2016,NA,NA,89,0.5,15,3,NA,NA,NA,5,2,ALP,Debra Lewis,2,1,1,1,7878,10,1,1,1,1
city,CA,Dana Point,2016,NA,NA,89,0.5,15,3,NA,NA,NA,5,2,ALP,Paul Wyatt,2,1,1,0,7544,10,1,1,1,1
1,CA,Dana Point,2018,NA,NA,89,0.5,15,3,NA,NA,NA,5,1,SSD,Joe Muller,1,1,1,0,1459,5,0,0,0,0
2,CA,Dana Point,2018,NA,NA,89,0.5,15,3,NA,NA,NA,5,1,SSD,Richard Viczorek,1,1,1,0,1540,5,0,0,0,0
3,CA,Dana Point,2018,NA,NA,89,0.5,15,3,NA,NA,NA,5,1,SSD,Jamey Federico,1,1,1,0,1701,5,0,0,0,0
city,CA,Danville,2018,NA,NA,82,1,6,12,NA,NA,NA,5,2,ALP,Karen Stepper,1,1,1,1,14994,10,1,1,1,1
city,CA,Danville,2018,NA,NA,82,1,6,12,NA,NA,NA,5,2,ALP,Robert Storer,1,1,1,0,13569,10,1,1,1,1
city,CA,Diamond Bar,2015,NA,NA,35,4,19,53,NA,NA,NA,5,2,ALP,Ruth Low,NA,1,NA,NA,2266,10,0,0,0,0
city,CA,Diamond Bar,2015,NA,NA,35,4,19,53,NA,NA,NA,5,2,ALP,Carol Herrera,NA,1,NA,NA,2216,10,0,0,0,0
city,CA,Diamond Bar,2018,NA,NA,35,4,19,53,NA,NA,NA,5,3,ALP,Nancy A. Lyons,2,1,1,1,9880,15,1,1,1,1
city,CA,Diamond Bar,2018,NA,NA,35,4,19,53,NA,NA,NA,5,3,ALP,Steve Tye,1,1,1,0,8231,15,1,1,1,1
city,CA,Diamond Bar,2018,NA,NA,35,4,19,53,NA,NA,NA,5,3,ALP,Andrew Chou,2,1,4,0,7483,15,1,1,1,1
1,CA,Downey ,2016,NA,NA,56,4,71,7,NA,NA,NA,5,1,SSD,D1: Blanca Pachero,NA,1,NA,NA,3379,5,0,0,0,0
3,CA,Downey ,2016,NA,NA,56,4,71,7,NA,NA,NA,5,1,SSD,D3: Rick Rodriguez,NA,1,NA,NA,3716,5,0,0,0,0
5,CA,Downey ,2016,NA,NA,56,4,71,7,NA,NA,NA,5,1,SSD,D5: Alex Saab,NA,1,NA,NA,24141,5,0,0,0,0
1,CA,Downey ,2018,NA,NA,56,4,71,7,NA,NA,NA,5,1,SSD,NA,NA,1,NA,NA,336,5,0,1,1,0
4,CA,Downey ,2018,NA,NA,56,4,71,7,NA,NA,NA,5,1,SSD,D4: Claudia Frometa,2,1,2,1,3981,5,1,1,1,1
6,CA,Downey ,2018,NA,NA,56,4,71,7,NA,NA,NA,5,1,SSD,D6: Bryan Urias,2,1,2,0,273,5,0,1,1,0
1,CA,Duarte,2018,NA,NA,51,8,46,16,NA,NA,NA,7,1,SSD,"Tzeitel Paras-Caracci,",2,1,4,1,711,7,1,3,3,1
4,CA,Duarte,2018,NA,NA,51,8,46,16,NA,NA,NA,7,1,SSD,"Margaret E. Finlay,",11,1,1,1,554,7,1,3,3,1
6,CA,Duarte,2018,NA,NA,51,8,46,16,NA,NA,NA,7,1,SSD,"Bryan Urias,",2,1,2,0,273,7,0,3,3,0
7,CA,Duarte,2018,NA,NA,51,8,46,16,NA,NA,NA,7,1,SSD,JOCELYN NUNEZ,11,1,2,1,336,7,1,3,3,1
city,CA,Dublin ,2016,NA,NA,58,7,13,26,NA,NA,NA,5,2,ALP,Arun Goel,2,1,4,0,8928,10,1,1,1,1
city,CA,Dublin ,2016,NA,NA,58,7,13,26,NA,NA,NA,5,2,ALP,Melissa Hernandez Strah,2,1,2,1,7950,10,1,1,1,1
city,CA,Dublin ,2018,NA,NA,58,7,13,26,NA,NA,NA,5,3,ALP,Jean Josey,1,1,1,1,9181,15,1,1,1,1
city,CA,Dublin ,2018,NA,NA,58,7,13,26,NA,NA,NA,5,3,ALP,Shawn Kumagai,2,1,4,0,5944,15,1,1,1,1
city,CA,Dublin ,2018,NA,NA,58,7,13,26,NA,NA,NA,5,3,ALP,Bobby Khullar,1,1,4,0,5719,15,1,1,1,1
city,CA,El Cerrito,2016,NA,NA,58,7,12,25,NA,NA,NA,5,3,ALP,Greg Lyman,2,1,1,0,4903,15,1,1,1,1
city,CA,El Cerrito,2016,NA,NA,58,7,12,25,NA,NA,NA,5,3,ALP,Rochelle Pardue-Okimoto,2,1,3,1,4830,15,1,1,1,1
city,CA,El Cerrito,2016,NA,NA,58,7,12,25,NA,NA,NA,5,3,ALP,Paul Fadelli,2,1,1,0,4091,15,1,1,1,1
city,CA,El Cerrito,2018,NA,NA,58,7,12,25,NA,NA,NA,5,2,ALP,Gabriel Quinto,2,1,4,0,8730,10,1,1,1,1
city,CA,El Cerrito,2018,NA,NA,58,7,12,25,NA,NA,NA,5,2,ALP,Janet Abelson,2,1,1,1,8344,10,1,1,1,1
city,CA,El Monte,2015,NA,NA,39,1,69,25,NA,NA,NA,5,2,ALP,Jerry Velasco,NA,1,NA,NA,2396,10,0,0,0,0
city,CA,El Monte,2015,NA,NA,39,1,69,25,NA,NA,NA,5,2,ALP,"Victoria ""Vicky"" Martinez",NA,1,NA,NA,2375,10,0,0,0,0
city,CA,El Monte,2018,NA,NA,39,1,69,25,NA,NA,NA,5,2,ALP,Maria Morales,2,1,2,1,6599,10,2,2,2,2
city,CA,El Monte,2018,NA,NA,39,1,69,25,NA,NA,NA,5,2,ALP,Jessica Ancona,2,1,2,1,6433,10,2,2,2,2
city,CA,Emeryville,2016,NA,NA,44,14,9,36,NA,NA,NA,5,3,ALP,John Bauters,2,1,1,0,2312,15,1,1,1,1
city,CA,Emeryville,2016,NA,NA,44,14,9,36,NA,NA,NA,5,3,ALP,Ally Medina,2,1,1,1,2121,15,1,1,1,1
city,CA,Emeryville,2016,NA,NA,44,14,9,36,NA,NA,NA,5,3,ALP,Christian Patz,2,1,1,0,1723,15,1,1,1,1
city,CA,Emeryville,2018,NA,NA,44,14,9,36,NA,NA,NA,5,2,ALP,Dianne Martinez,2,1,2,1,3182,10,1,1,1,1
city,CA,Emeryville,2018,NA,NA,44,14,9,36,NA,NA,NA,5,2,ALP,Scott Donahue,4,1,1,0,2569,10,1,1,1,1
city,CA,Firebaugh,2016,NA,NA,79,1,90,0.5,NA,NA,NA,5,2,ALP,Elsa Lopez,1,1,2,1,888,10,1,1,1,1
city,CA,Firebaugh,2016,NA,NA,79,1,90,0.5,NA,NA,NA,5,2,ALP,Freddy Valdez,1,1,2,0,793,10,1,1,1,1
city,CA,Firebaugh,2018,NA,NA,79,1,90,0.5,NA,NA,NA,5,2,ALP,Marcia Sablan,2,1,1,1,697,10,1,1,1,1
city,CA,Firebaugh,2018,NA,NA,79,1,90,0.5,NA,NA,NA,5,2,ALP,Felibe Perez,2,1,2,0,548,10,1,1,1,1
city,CA,Fountain Valley,2016,NA,NA,56,1,13,35,NA,NA,NA,5,2,ALP,Steve Nagel,1,1,1,0,12131,10,1,1,1,1
city,CA,Fountain Valley,2016,NA,NA,56,1,13,35,NA,NA,NA,5,2,ALP,Cheryl Brothers,1,1,1,1,9972,10,1,1,1,1
city,CA,Fountain Valley,2018,NA,NA,56,1,13,35,NA,NA,NA,5,3,ALP,Michael Vo,1,1,4,0,8857,15,1,1,1,1
city,CA,Fountain Valley,2018,NA,NA,56,1,13,35,NA,NA,NA,5,3,ALP,Patrick Harper,1,1,1,0,8370,15,1,1,1,1
city,CA,Fountain Valley,2018,NA,NA,56,1,13,35,NA,NA,NA,5,3,ALP,Kim Constantine,1,1,1,1,8038,15,1,1,1,1
city,CA,Fowler ,2016,NA,NA,48,2,64,11,NA,NA,NA,5,3,ALP,Daniel Parra,2,1,2,0,975,15,0,0,0,0
city,CA,Fowler ,2016,NA,NA,48,2,64,11,NA,NA,NA,5,3,ALP,Karnig Ronald Kazari,NA,1,4,0,817,15,0,0,0,0
city,CA,Fowler ,2016,NA,NA,48,2,64,11,NA,NA,NA,5,3,ALP,Leonard Hammer,1,1,1,0,787,15,0,0,0,0
city,CA,Fowler ,2018,NA,NA,48,2,64,11,NA,NA,NA,5,2,ALP,David Cardenas,1,1,2,0,1332,10,0,0,0,0
city,CA,Fowler ,2018,NA,NA,48,2,64,11,NA,NA,NA,5,2,ALP,Mark Rodriguez,NA,1,2,0,965,10,0,0,0,0
city,CA,Fremont,2016,NA,NA,34,3,15,49,NA,NA,NA,5,3,ALP,Vinnie Bacon,2,1,1,0,34649,15,1,1,1,1
city,CA,Fremont,2016,NA,NA,34,3,15,49,NA,NA,NA,5,3,ALP,Raj Saiwan,2,1,4,0,23391,15,1,1,1,1
city,CA,Fremont,2016,NA,NA,34,3,15,49,NA,NA,NA,5,3,ALP,Kathy Kimberlin,2,1,1,1,13239,15,1,1,1,1
